id,review,aspects
85,One of the most comprehensive apps.,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
86,"I really love this app, it is a very useful app. Am very grateful to have this app, for the recition of Quran Alhamdulillah. I really recommended that any of you who wants to have the recition of Quran can surely download this app.","[{'aspect': 'app', 'polarity': 'Positive'}]"
87,Best App to learn and listen Quran totally Free. Also it has most of Tafsir's and Reciters which many apps give in premium mode,"[{'aspect': 'App', 'polarity': 'Positive'}]"
88,"very good experience, clean, and helpful","[{'aspect': 'experience', 'polarity': 'Positive'}]"
89,An excellent app towards making the Qur'an understandable to all Good work guys!,"[{'aspect': 'app', 'polarity': 'Positive'}]"
90,Need more Options but all is good.👍,"[{'aspect': 'Options', 'polarity': 'Neutral'}]"
92,It's a very useful app I have ever seen.Go ahead and keep doing well.Best wishes for you who made this amazing app.Thank you,"[{'aspect': 'app', 'polarity': 'Positive'}]"
93,Assalamulykumn.. my app is crashing please help,"[{'aspect': 'app', 'polarity': 'Negative'}]"
95,Good alhamdulillah good for as to study,"[{'aspect': 'study', 'polarity': 'Positive'}]"
96,"Assalamualaikum, it is really wonderfully app for Muslim.","[{'aspect': 'app', 'polarity': 'Positive'}]"
98,It's really convenient and useful. Keep the good work.,"[{'aspect': 'useful', 'polarity': 'Positive'}]"
101,Very helpful to learn meaning of individual words. Easy to navigate. JazakAllah,"[{'aspect': 'navigate', 'polarity': 'Positive'}]"
102,"This app is a very lovely app......they got all ave been searching for, may Allah bless the organiser of the app.....jazakum allahu khayron amin","[{'aspect': 'app', 'polarity': 'Positive'}]"
104,This apps really work best.Love it😍,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
105,Jajakallah khayran...But i can not find Bangla word meaning...Please Added bangla word meaning,"[{'aspect': 'bangla', 'polarity': 'Neutral'}]"
106,There's a very good app.. Every Muslim should install this app and enjoy it very much 💖💖💖 This app help you in many Islamic things... It is a very useful app also❤️,"[{'aspect': 'app', 'polarity': 'Positive'}]"
107,Alhamdulillah This app is very Useful. keep creating Apps.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
108,The challenge with the app are the multiple daily reminders - they just don't switch off,"[{'aspect': 'app', 'polarity': 'Negative'}]"
109,The update was difficult to use please correct the minor error,"[{'aspect': 'update', 'polarity': 'Negative'}]"
110,ALHAMDULILLAH ONEK VALO APPS TI,"[{'aspect': 'APPS', 'polarity': 'Neutral'}]"
111,Absolutely the best Quran app so far.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
112,Assalamu alaikum May Allah bless those behind this amazing app. Everything is fine Ma Shaa Allah. But please try to fix the errors in the duaa section. Then it can be absolutely perfect for Bangali Muslims.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
113,This is the best Qur'an app I've seen so far.... Wallah,"[{'aspect': 'app', 'polarity': 'Positive'}]"
114,The app is good easy to use for everyone.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
115,The best Qur'an app I ever used It was very satisfied as you can learn different recitation technique from different Qurra,"[{'aspect': 'app', 'polarity': 'Positive'}]"
116,Best App for reading and memorizing the Qur'an with tajwed and tafsir. It is Amazing App. JazakumAllahu khairan.,"[{'aspect': 'App', 'polarity': 'Positive'}]"
117,The best apps. Recommended to have it,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
118,The most amazing app i have ever found. Reminds me in quranic ayahs everyday with tafsir,"[{'aspect': 'app', 'polarity': 'Positive'}]"
119,"Best app for Qur'an- can read in different fonts/texts. East to Navigate. Love the root word feature which comes in handy for students. Can also change the theme. The streak idea is amazing. Good Stuff, Keep it up!","[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'theme', 'polarity': 'Neutral'}]"
120,Alhamdulillah ..Very Nice Apps...,"[{'aspect': 'Apps', 'polarity': 'Positive'}]"
121,MashAllah Very Amazing app. Very helpful. Very easy to use Very informative May Allah accept your struggle,"[{'aspect': 'app', 'polarity': 'Positive'}]"
122,"Fantastic app, very comprehensive knowledge source. Keep it up.","[{'aspect': 'app', 'polarity': 'Positive'}]"
123,I love this app it's easy to use it,"[{'aspect': 'app', 'polarity': 'Positive'}]"
124,May Allah swt accept your sacrifice and great job.,"[{'aspect': 'Allah swt', 'polarity': 'Neutral'}]"
125,Salam to ALL! The best Quran app full of knowledge and ease. Recommended for all Muslim ummah. Please do add more features. Thanks,"[{'aspect': 'app', 'polarity': 'Positive'}]"
126,Daily Notification doesn't take you to the exact place plz fix it otherwise everything is Alhamdulliah,"[{'aspect': 'Notification', 'polarity': 'Negative'}]"
127,"I'm speakless... Subhanallah, this app perfect, the best of the best that I've ever had, and seen. Allah bless you... thanks a lot!!","[{'aspect': 'app', 'polarity': 'Positive'}]"
128,Maa shaa Allah The App is great,"[{'aspect': 'App', 'polarity': 'Positive'}]"
129,A very nice easy to use app...,"[{'aspect': 'app', 'polarity': 'Positive'}]"
130,This is the best Qur'anic app i ever seen in my life. Jazakumullahu Khairan,"[{'aspect': 'app', 'polarity': 'Positive'}]"
132,An app doesn't get any better than this according to me! Jazakallah,"[{'aspect': 'app', 'polarity': 'Negative'}]"
133,"Alhamdulillah, an extremely helpful app for recitation and learning Quran.","[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'Quran', 'polarity': 'Positive'}]"
135,It's helpful alhamdullah.mayAllah bless all of the entire team.,"[{'aspect': 'team', 'polarity': 'Positive'}]"
136,"May Allah reward you, the quality of this app is superior and outstanding for this category. Keep pushing!","[{'aspect': 'app', 'polarity': 'Positive'}]"
137,Alhamdulilah i think this is one of the best apps ever i use. Ja jak allah khairan,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
138,Wonderfull. Concised and easy language. So engaging. Thans a lot for such wonderful apps. All praised to Allah.,"[{'aspect': 'language', 'polarity': 'Positive'}, {'aspect': 'apps', 'polarity': 'Positive'}]"
139,Alhamdulillah very good islamic app,"[{'aspect': 'app', 'polarity': 'Neutral'}]"
140,Hands down best Quran app I've ever used.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
141,"Amazing, interactive and no glitches so far. Subhan Allah may the creator of the app be rewarded.","[{'aspect': 'app', 'polarity': 'Positive'}]"
142,This is awesome al quran but did not have sound to react it,"[{'aspect': 'al quran', 'polarity': 'Positive'}, {'aspect': 'sound', 'polarity': 'Neutral'}]"
143,ITS VERYYY USEFULL QUARAN I VERY LIKE IT BECAUSE I CAN UNDERSTAND ALL THE MEANING M Y LANGUAGE IS FILIPINO THIS QURAN IS THE ONLY BEST . 😍😍😍😍😍😍😍,"[{'aspect': 'QURAN', 'polarity': 'Positive'}]"
144,One of the best apps ever! So glad!,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
145,Its so good for muslim communities,"[{'aspect': 'muslim', 'polarity': 'Positive'}]"
147,"Excellent, loved this app. Very useful. Thank you so much.","[{'aspect': 'app', 'polarity': 'Positive'}]"
149,The best one in the playstore and appstore and mac,"[{'aspect': 'playstore', 'polarity': 'Positive'}]"
152,So good ......Apps....I hope you will gift us this type of apps...Inshaallah.....May Allah bless you...,"[{'aspect': 'Apps', 'polarity': 'Positive'}]"
153,I love this app so much Alhamdulillah praise be to Allah may Allah grant all of you jannah for your hardwork this helped me alot,"[{'aspect': 'app', 'polarity': 'Positive'}]"
154,I love how useful this app is and how you guys replies to all reviews.  Excellent app with great support. JazakAllah khairan.,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'support', 'polarity': 'Positive'}]"
155,Very good app and especially help to learn alot,"[{'aspect': 'app', 'polarity': 'Positive'}]"
156,Great app. Helps me a lot with quran memorizing.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
158,It's nice. I wanted this type of apps. Zajakallahu Khairan,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
159,A very nice and insightful app. Kudos to the developer,"[{'aspect': 'app', 'polarity': 'Positive'}]"
161,Best app I have ever seen..May Allah Subhanahu Tawla give you best returns..it is my desire..,"[{'aspect': 'app', 'polarity': 'Positive'}]"
162,Its amazing. I think every muslim should have this app.jajakallah,"[{'aspect': 'app', 'polarity': 'Positive'}]"
163,Mashallah it helped me rememorize The Quran again,"[{'aspect': 'Quran', 'polarity': 'Positive'}]"
164,Excellent app is very easy to use and has many features which are very helpful in many ways,"[{'aspect': 'app', 'polarity': 'Positive'}]"
165,Mashaallah. .no.word explain. It's like a ocean.,"[{'aspect': 'explain', 'polarity': 'Negative'}, {'aspect': 'ocean', 'polarity': 'Negative'}]"
166,Exactly that is very good app for muslims. Thank you Muslim Bangla,"[{'aspect': 'app', 'polarity': 'Positive'}]"
167,Easy to read and love the quick link.,"[{'aspect': 'link', 'polarity': 'Positive'}]"
168,"is very good App, when you get used to it you even know the story behind any Ayaat... very excellent I love anything in this App","[{'aspect': 'App', 'polarity': 'Positive'}]"
169,Alhamdulillah! It is the best Quran App I have ever come across. Offers a range of features that helps to have a better comprehension and learning experience.,"[{'aspect': 'App', 'polarity': 'Positive'}]"
170,This app is very useful. Because it contains almost everything of the Quran and it can be read offline as well.,"[{'aspect': 'app', 'polarity': 'Negative'}, {'aspect': 'offline', 'polarity': 'Positive'}]"
171,"This app helps me into leatning arabic, which is amazing!","[{'aspect': 'arabic', 'polarity': 'Positive'}]"
172,I had to remove it and download it again because it stopped working well but was fixed after that. I love this app,"[{'aspect': 'app', 'polarity': 'Positive'}]"
173,It's a very nice app with A very good interface,"[{'aspect': 'app', 'polarity': 'Positive'}]"
175,"It's a perfect app, may Allah bless anyone who contributed in making this app and grant us all Jannatul Firdaus...Aameen yaa Rab","[{'aspect': 'app', 'polarity': 'Positive'}]"
176,A very good app. May Allah bless the developers,"[{'aspect': 'app', 'polarity': 'Positive'}]"
177,The best for me learn tajweed and memorize easily wow i like so much but i searched for the file to download but it was no where to be seen,"[{'aspect': 'tajweed', 'polarity': 'Positive'}]"
178,It's a very good app's for Muslim,"[{'aspect': 'app', 'polarity': 'Positive'}]"
179,Nice app Alhamdulillah sob ase ak er vitor onak help full,"[{'aspect': 'app', 'polarity': 'Positive'}]"
180,"Life in the Arms of God is Good, Cause God is Great. And it's incredible to have He's word in this App Amen. And so greatful that you guys and gals make it so. Cheers Kieran","[{'aspect': 'word', 'polarity': 'Positive'}]"
181,One of the best quran app on play store.,"[{'aspect': 'play', 'polarity': 'Positive'}]"
182,It is very good app for yhe Muslims.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
183,great app clear and concise. a must download,"[{'aspect': 'app', 'polarity': 'Positive'}]"
184,I like this app because it has everything that you need to understand Quran.,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'Quran', 'polarity': 'Positive'}]"
185,Alhamdulillah... very useful app for every muslim who wants to perform some regular amal.,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'amal', 'polarity': 'Neutral'}]"
186,The most beautiful Quran ul Kareem I haven't seen before. May Allah bless the developer,"[{'aspect': 'Quran', 'polarity': 'Positive'}]"
187,very important apps for evry persom,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
188,"Undoubtedly, the audios of this app are free of corruption.","[{'aspect': 'audios', 'polarity': 'Positive'}, {'aspect': 'app', 'polarity': 'Positive'}]"
189,Thanks a lot for using a very nice app,"[{'aspect': 'app', 'polarity': 'Positive'}]"
190,"Ma sha allah , Very very Good apps.","[{'aspect': 'apps', 'polarity': 'Positive'}]"
191,"This is the most awesome app i use for memorization, the UX and UI are both flawless & may Allah reward the team abundantly","[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'UX', 'polarity': 'Positive'}, {'aspect': 'UI', 'polarity': 'Positive'}]"
192,I love this type or version of the Holy Quran it's the best 👌 ever,"[{'aspect': 'Quran', 'polarity': 'Positive'}]"
193,Alhamdulillah very very very much useful app this is...and carry on,"[{'aspect': 'app', 'polarity': 'Positive'}]"
195,Alhamdulillah I've had no issues with it sine I downloaded it.,"[{'aspect': 'downloaded', 'polarity': 'Positive'}]"
196,It is the best app for a Muslim person.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
197,Alhamdulillah! Great experience so far.,"[{'aspect': 'experience', 'polarity': 'Positive'}]"
198,A very useful and easy to use app,"[{'aspect': 'app', 'polarity': 'Positive'}]"
199,Why is the arabic text missing? English translation is the only thing that appears now.,"[{'aspect': 'text', 'polarity': 'Negative'}]"
200,Very helpful and well structure,"[{'aspect': 'structure', 'polarity': 'Positive'}]"
201,The Muslim Bangla app is good. Features are very good. Overall everything is good.,"[{'aspect': 'Features', 'polarity': 'Positive'}]"
202,Jazak Allahu hu khayrin. Al Quran makes an amateur to read it with ease. Thanks a lot and may Allah helps you to reach every part in this universe and earn blessings of millions and trillions and quadrillions.,"[{'aspect': 'Quran', 'polarity': 'Positive'}]"
203,"To me,it remains the most helpful islamic app, i have ever come across, and really, i do have them.","[{'aspect': 'app', 'polarity': 'Positive'}]"
204,"Alhamdulillah. This app is really amazing. It has been helping me so much since the day,I have downloaded it. My experience is enough good. Shukor-Alhamdulillah for making such a nice app.","[{'aspect': 'app', 'polarity': 'Positive'}]"
205,"The most tidy Quran app I've ever seen. Besides, there are almost all the languages ​​of the world. My mother tongue Bengali is here. Besides, there is also Tafsir of Bengali Quran.","[{'aspect': 'app', 'polarity': 'Positive'}]"
206,A very good app especially for those that are still learn Quran and want to go into more details of the Quran Very user friendly. Even my 12 year old uses this app.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
207,Very very very good application for learning Islam .,"[{'aspect': 'application', 'polarity': 'Positive'}, {'aspect': 'learning', 'polarity': 'Positive'}]"
208,Tjis app introduce myself excellently with The Quran,"[{'aspect': 'app', 'polarity': 'Positive'}]"
209,May Allah bless you. Excellent for making and maintaining system.,"[{'aspect': 'maintaining', 'polarity': 'Positive'}]"
212,Great Apps very user freindly.,"[{'aspect': 'Apps', 'polarity': 'Positive'}]"
213,This app is always helpfull for a Muslims daily life.im satisfied.allah bless this app creater.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
214,Just excellent.May Allah give u reward.,"[{'aspect': 'reward', 'polarity': 'Neutral'}]"
215,Best app.. Alhamdulillah Please try to include word by word translation in Tamil... That would be very much helpful. Jazakumullahu khairan,"[{'aspect': 'app', 'polarity': 'Positive'}]"
216,"Very user friendly, easy to access to the tafsir as well. Well done.","[{'aspect': 'tafsir', 'polarity': 'Positive'}]"
217,One of the best Quran apps I have ever used!,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
218,Great app. May Allal reward you in this dunia and in the akhira. Amen.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
219,Alhamdulillah after searching a lot finally i got it.Jajakhallahi khaire,"[{'aspect': 'searching', 'polarity': 'Neutral'}]"
220,The reminder is good and always remind me to read the ayah,"[{'aspect': 'reminder', 'polarity': 'Positive'}]"
221,"Great Apps if this provide another khat beside uthmani, such as indonesia khat.","[{'aspect': 'Apps', 'polarity': 'Positive'}]"
222,Probably the best Qur'an App I've ever used. Great and resourceful.,"[{'aspect': 'App', 'polarity': 'Positive'}]"
224,One of the best Quran learning apps.,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
225,"First JazakAllah,Excellent, Fabulous, 👍","[{'aspect': 'JazakAllah', 'polarity': 'Positive'}]"
226,One of the best app for reciting Quran on the go. Not just that but it has lot.,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'Quran', 'polarity': 'Positive'}]"
227,eaay to use. helps to learn to understand the quran,"[{'aspect': 'quran', 'polarity': 'Positive'}]"
228,This app is awesome👍 .....I am using it for so many years...I sharply recommend people to use,"[{'aspect': 'app', 'polarity': 'Positive'}]"
229,It's become my companion . My favourite app ever. very helpful and user friendly. informative and useful for the Qur'an students.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
230,"Infact this app is exceptional, jazaakhumuLLahu khairan","[{'aspect': 'app', 'polarity': 'Positive'}]"
231,Currently best quran app.approved,"[{'aspect': 'app', 'polarity': 'Positive'}]"
232,"Great app, it has everything you need and easy to use. My only issue with it is that the tajweed colours are different from a regular tajweed mushaf. If it was the same, it'll be a lot easier.","[{'aspect': 'tajweed', 'polarity': 'Negative'}]"
233,Ummoter Jonno onek boro khurak hoyeche Masha Allah,"[{'aspect': 'onek', 'polarity': 'Neutral'}]"
234,I need a remind update for daily ayat,"[{'aspect': 'update', 'polarity': 'Neutral'}]"
235,I love this app. Many many opportunities have their.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
236,"This app is really good, i enjoy using it. Keep up the good work. Jazaakumullahu","[{'aspect': 'app', 'polarity': 'Positive'}]"
237,"Ma sha allah,,,and alhamdulillah,,, this app is very very helpful and beneficial for ever Muslim,,,","[{'aspect': 'app', 'polarity': 'Positive'}]"
238,"Just simply perfect especially the night mode plus tafsir, may Allah reward those involved. Jazakumullah khairan","[{'aspect': 'night mode', 'polarity': 'Positive'}, {'aspect': 'tafsir', 'polarity': 'Positive'}]"
239,Masha'Allah. Amazing app. Very intuitive and smooth with so many languages.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
240,"This is the best best best best app so far!!! With Quran, Hadith and duas 🤍💗💗❤️","[{'aspect': 'app', 'polarity': 'Positive'}]"
241,great application of holy Quran English translation,"[{'aspect': 'Quran', 'polarity': 'Positive'}]"
242,It is the best software for learning the Quran,"[{'aspect': 'software', 'polarity': 'Positive'}]"
243,Best Apps to learn and understand Quran in any language,"[{'aspect': 'Apps', 'polarity': 'Positive'}]"
244,Alhamdulillah. This App is a blessings for all of us to connect with the Qur’an.,"[{'aspect': 'App', 'polarity': 'Positive'}]"
245,I have not enough to say rather than to say may Allah bless and increase your knowledge and faith. It helps a lot Thanks,"[{'aspect': 'faith', 'polarity': 'Positive'}]"
246,"Al Quran tafsir and by word is very helpful, and guide Lerner's better understanding of Al Quran.","[{'aspect': 'tafsir', 'polarity': 'Positive'}]"
247,Nice app. You should create more apps related by islamic culture and activists.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
248,Alhamdulillah. This app is awesome. Easy to use and it carries variety of necessary Islamic basic topic. All in one app.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
249,"Alhamdulillah, this app is fantastic.","[{'aspect': 'app', 'polarity': 'Positive'}]"
250,Mashallah. Very nice & user friendly app.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
251,Why audio quality of Mishary al Afasy in An-Naba 1-39 lower than the quality in other ayahs?,"[{'aspect': 'audio quality', 'polarity': 'Negative'}]"
252,"Indispensable, easy to navigate, very useful in trying to understand the the message / Tafsir of The Qur'an , Alhamdulillah; may Allah ( SWT) reward you immensely, Ameen.","[{'aspect': 'navigate', 'polarity': 'Positive'}]"
