review,aspects,response_1,response_2
Awesome. Truly enjoying it and I advice every muslim to have a download of this app.,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience and for recommending the app to fellow Muslims. Your kind words encourage us to continue serving the Ummah with a tool that brings us closer to the Qur’an and its beautiful teachings.  

To keep benefiting from the app, you may:  
1. Explore the **Qur’an Planner** to set or adjust a daily reading schedule that fits your routine.  
2. Try the **Mushaf Mode** or the **audio recitations** of your favorite Qāriʾs for deeper memorization and reflection.  
3. Use the **search and topic explorer** to discover new verses and tafsīr that enrich your understanding.  

May Allah accept your good deeds and grant you ease in your worship. BarakAllahu feekum.","Thank you so much for your wonderful review! 🌟 We're thrilled to hear that you’re enjoying the app, and we truly appreciate your recommendation to fellow Muslims. If you ever have any suggestions or need assistance, please don’t hesitate to let us know. May the app continue to be a blessing for you and all who use it. JazakAllah khair!"
Wallah one of the best apps on the planet,"[{'aspect': 'apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—knowing that you consider this app “one of the best” truly lifts our hearts and encourages us to continue serving the Ummah with humility and sincerity. Your kind words are a blessing and a reminder of the noble purpose of our work: to make the Qur’an and its teachings easily accessible for all believers.

We invite you to explore more of the features that help deepen your connection with the Qur’an, such as the Quran Planner for daily reading, the diverse audio recitations, and the rich library of translations and tafsirs. Should you have any ideas for new resources or encounter anything you wish to improve, please let us know by submitting feedback at feedback.gtaf.org so we can serve you better. May Allah accept from you and us. BarakAllahu feekum.","Alhamdulillah, thank you so much for your kind words! We’re thrilled to hear you consider our app one of the best. Your support means a lot to us—jazak Allah khair. If you ever have any suggestions or need assistance, please don’t hesitate to let us know. May the app continue to bring you blessings. 🙏"
Al hamdullilah Best App made word by word and background voice recetation feel understand with translation very effective jazak'Allah Khairan Team Great Rewards,"[{'aspect': 'translation', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app—Al‑hamdulillah that the word‑by‑word translation and the background recitation are helping you understand the Qur’an more deeply, and that you find the rewards encouraging. Your kind words uplift our team and inspire us to continue serving the Ummah with sincere Khidmah.  

If you wish to explore even more translations or customize the recitation audio, you can tap the **Settings** icon, select **Audio & Translation**, choose another language or reciter, and then enable the **Reward Tracker** to see your progress step‑by‑step. Should you have any new ideas for features or further feedback, please submit them at **feedback.gtaf.org** so we can consider them in future updates. May Allah accept our efforts and increase you in knowledge and blessings. BarakAllahu feekum.","Assalamu alaykum wa rahmatullāhi wa barakātuh,

Al‑ḥamdu lillāh! Thank you so much for your wonderful words and for taking the time to share your experience. We’re delighted to hear that you find the word‑by‑word recitation, background audio, and translations helpful and effective. Your encouragement means a lot to the entire Team, and it motivates us to keep improving the app for all users.

If you have any suggestions, requests, or encounter anything you’d like us to enhance, please let us know—we’re always here to serve you. May Allah reward you abundantly for your kind feedback. 

Jazak‑Allah Khair! 

—The [App Name] Support Team."
Masha Allah. Very important application for Muslims.,"[{'aspect': 'application', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; we are humbled to know it serves as a valuable tool for you and the Ummah. Your encouragement inspires us to continue offering features that help Muslims connect deeper with the Qur’an, the Sunnah, and daily worship.

If you have a moment, we invite you to explore additional sections such as the Quran Planner, the various reciters, or the topic‑explorer to enrich your ibādah even further. Should you ever have suggestions or encounter anything you’d like us to improve, please submit your feedback at feedback.gtaf.org so we can serve you better. May Allah accept your good deeds and bless you abundantly. BarakAllahu feekum.","Alhamdulillah, thank you for your kind words! We’re grateful to hear that you find the app valuable for your daily practice. If you have any suggestions or need assistance with any feature, please let us know—we’re here to help you make the most out of your experience. JazakAllāh khair!"
I love using this app while making quran notes or Quran journal. MashaAllah must have app. JazakAllahu khairan,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; we are delighted to hear that it enriches your Quran notes and journaling, MashaAllah. Your kind words encourage us to continue serving the Ummah with tools that help deepen our connection to the Qur’an.

If you have a moment, we invite you to explore additional features such as the Quran Planner for setting personalized reading goals, the Mushaf mode for a familiar page layout, or the extensive library of translations and tafsirs that can further enhance your reflections. Should you wish to suggest any new tools or share more feedback, please submit it at feedback.gtaf.org so we can consider it for future improvements. May Allah accept our efforts and grant you continued benefit from His Book. BarakAllahu feekum.","Alhamdulillah — we are so pleased to hear that the app is helping you with your Quran notes and journal! JazakAllahu khairan for your kind words. If you ever have any suggestions or need assistance, please let us know. May Allah reward you abundantly for your dedication. 🌙📖"
Alhamdhulillah. Thanks to developer,"[{'aspect': 'developer', 'polarity': 'Neutral'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for taking the time to share your gratitude; we are humbled by your kind words and pray that the app continues to be a source of barakah in your worship.

We encourage you to keep exploring the many features—such as the diverse recitations, Quran Planner, and topic‑based study tools—that can further enrich your connection with the Qur’an. Should you have any ideas for improvement or need assistance, please feel free to submit them at feedback.gtaf.org so we may serve the Ummah even better. May Allah accept your thankfulness and bless your continued journey with the Qur’an. BarakAllahu feekum.","Alhamdulillah, we're delighted to hear you’re satisfied! JazakAllahu khair for your kind words. May this app continue to benefit you and bring you closer to Allah. If you ever need assistance or have any suggestions, please let us know. 🌙🙏"
Alhamdulillah.. this app is really helpful.. Jazakillah,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words; Alhamdulillah that you find the app truly helpful brings great joy to our team. Your gratitude encourages us to continue serving the Ummah with sincere dedication and humility.  

We invite you to explore more of the app’s blessings—such as the Quran Planner, audio recitations, and topic‑based searches—to deepen your connection with the Qur’an. Should you have any ideas for new features or encounter any difficulty, please submit them at feedback.gtaf.org so we can serve you better. May Allah accept our efforts and your worship. BarakAllahu feekum.","Alhamdulillah! Thank you so much for your kind words, and Jazak Allah khair for taking the time to share your experience. We’re delighted to hear that the app is helping you. If you ever have any suggestions or need assistance, please don’t hesitate to let us know—we’re here to serve you. May Allah reward you abundantly! 🌙🕌"
I Love this app so much. & I'm recommend all my friend installed this app. Learn Al-Quran. Love you authorities for made a perfect Holy Quran.,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your heartfelt love for the app and for recommending it to your friends; it brings us great joy to know that the Qur’an experience we have built is blessing you and the Ummah. Your kind words encourage us to continue serving the community with humility and sincerity.  

If you wish to deepen your learning, you might explore the audio recitation feature—tap the speaker icon, choose a beloved qāriʾ such as Mishary Al‑Afasy or Abu Basir, and enable the repeat mode for verses you are memorising. You can also set a personalized daily reading schedule in the Quran Planner by selecting “Create Plan” from the menu and choosing a realistic goal; the app will remind you each day to stay consistent. May Allah accept your efforts and increase you in knowledge. For any suggestions or further assistance, please submit your feedback at feedback.gtaf.org. BarakAllahu feekum, and may Allah accept from you and us.","Dear Brother/Sister,

Al‑hamdulillah, thank you so much for your heartfelt words! We are truly delighted to hear that you love the app and find it helpful for learning the Holy Qur’an. Your recommendation to friends means a great deal to us, and it inspires the entire team to continue providing a perfect, authentic Qur’an experience for all users.

If you have any suggestions, questions, or need assistance with any feature, please don’t hesitate to let us know—we’re here to help. May Allah bless you for spreading the benefit of this app, and may the Qur’an bring you continued guidance and peace.

JazakAllahu khairan,
The Qur’an App Support Team"
Greatest apps for understanding Quran word by word.,"[{'aspect': 'apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience; it warms our hearts to hear that you find the app the “greatest” for word‑by‑word understanding of the Qur’an. Your kind words encourage us to continue serving the Ummah with tools that bring us closer to the Divine words.  

If you have a moment, we invite you to explore additional features such as the audio recitations, the Quran Planner, and the extensive library of translations and tafsīr, which further enrich your study and ibādah. Should you have any suggestions or need assistance, please submit your feedback at feedback.gtaf.org so we can keep improving this blessed service. May Allah accept from you and us. BarakAllahu feekum.","Thank you so much for your kind words! 🌙 We're delighted to hear that you find the app helpful for exploring the Quran word by word. May your journey with the Qur'an bring you deeper understanding and blessings. If you ever have suggestions or need any assistance, please let us know—we're here to help!"
All you need in a Quran app. Beautiful and tons of options to interact with the words of Allah ta'ala. An invaluable tool. May Allah be pleased with your efforts. Barak Allahu feekum.,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'options', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing such a heartfelt review. Al‑hamdulillah, we are humbled by your kind words and delighted that the app’s many options have helped you connect deeply with the Qur’an. Your encouragement inspires us to continue serving the Ummah with sincerity and humility.  

To enrich your experience even further, you might explore the audio recitation feature: 1️⃣ tap the “Audio” icon on any Surah, 2️⃣ choose a beloved reciter such as Mishary Al‑Afasy or Abdul Basit, and 3️⃣ download the files for offline listening so you can reflect wherever you are. This, along with the Quran Planner, can help you maintain a steady daily habit and gain additional blessings. May Allah accept your worship and grant you continued benefit from this tool. BarakAllahu feekum, and may Allah accept from you and us.","**جزاكم الله خيراً** for this beautiful review!  
We’re delighted to hear that you find the app’s features—beautiful design, interactive tools, and the many options for connecting with the Qur’an—helpful in your journey with the words of Allah Ta’ala.  

Your encouragement inspires us to keep improving and adding more valuable resources for our community. May Allah bless you abundantly and accept your sincere du‘ā.  

If you ever have suggestions or need assistance, please don’t hesitate to reach out. Barak Allahu Feekum!"
ALHAMDULILLAH Upon the Ni'imah of this Qur'an App.,"[{'aspect': 'App', 'polarity': 'Neutral'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your heartfelt appreciation of the Qur’an app; al‑hamdulillāh that it has become a source of blessing for you. Your kind words encourage us to keep serving the Ummah with dedication and sincerity.  

If you wish to deepen your experience, you might explore the Qur’an Planner to set personalized reading goals, or try the diverse reciters and audio translations for varied reflection. Should you have any ideas for further improvement, please submit them at feedback.gtaf.org so we can continue to enhance this noble service. May Allah accept our efforts and grant you continued benefit from the Qur’an. BarakAllahu feekum.","**Assalamu Alaykum wa Rahmatullahi wa Barakatuh**,  

Alhamdulillah! We’re delighted to hear that you find our Qur’an app a source of blessing (ni‘mah). Your kind words encourage us to continue improving the app for everyone.

If you have any suggestions, encounter any issues, or simply want to share how the app has helped you in your daily dhikr and recitation, please let us know—we’re here to support you.  

May Allah keep His guidance upon you and your loved ones.  

JazakAllāh khair for your beautiful review!  

— *The Qur’an App Support Team*"
Easy to read & understand translation.,"[{'aspect': 'read', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing that you find the translation easy to read and understand; your kind words encourage us to continue serving the Ummah with clear and accessible Qur’anic resources.  

If you would like to enhance your reading experience further, you may adjust the font size or style in **Settings → Display**, enable the original Arabic text alongside the translation by toggling **Show Arabic**, or explore audio recitations that match the translation in **Audio → Reciters**. Should you have any other suggestions or need assistance, please submit them at **feedback.gtaf.org** so we can keep improving the app for everyone. May Allah accept our efforts and bless your Qur’an study. BarakAllahu feekum.","Thank you for sharing your thoughts! We’re delighted to hear that you find the translations easy to read and understand. Our team works hard to make the content clear and accessible for everyone. If you have any suggestions for further improvements or features you’d like to see, please let us know—we’re always happy to hear from our users. May your journey with the app continue to be beneficial and uplifting. 🌙✨"
One of the best Qur'an applications I've ever used!,"[{'aspect': 'applications', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience; hearing that you consider our app “one of the best” fills our hearts with gratitude and encourages us to keep serving the Ummah with sincerity and humility. Al‑hamdulillah, we are pleased that the features have been a source of ease and blessings in your Qur’an journey.  

If you wish to deepen your experience, you may explore the Quran Planner (tap the 📅 icon, set a daily goal, and enable reminders) or try the Mushaf Mode for a familiar page‑by‑page reading. Should you have any ideas for new tools, please submit them at feedback.gtaf.org so we can continue to enhance this service for all believers. May Allah accept our efforts and increase you in knowledge and reward. BarakAllahu feekum.","Thank you so much for your kind words! We’re delighted to hear that you consider our app one of the best Qur’an apps you’ve used. Your support inspires us to keep improving the experience for all our users. If there’s anything specific you’d love to see added or any feedback you’d like to share, please let us know—we’re here to help. JazakAllah khair!"
I downloaded multiple Qur'an apps and I found this one is the best from all the them. This apps gives ton of option to choose from according to your needs.,"[{'aspect': 'apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience; it warms our hearts to hear that you consider our app the best among many and that the many options serve your needs. Your kind words encourage us to continue serving the Ummah with a tool that brings the Qur’an closer to every heart.  

If you have a moment, we invite you to explore some of the deeper features—such as the Quran Planner, custom Mushaf layouts, or the extensive library of recitations and translations—to further enrich your ibādah. Should you think of any additional customization or have suggestions, please submit them at feedback.gtaf.org so we can keep improving. May Allah accept your good deeds and grant you ease in your Qur’anic journey. BarakAllahu feekum.","**Assalamu Alaykum wa Rahmatullahi wa Barakatuh,**

Jazāk Allāhu khair an ka ‘ala hadhihi al‑ta‘bīra al‑mumti‘a!  It truly brightens our hearts to hear that you find our Qur’an app the best among the many you’ve tried, and that its wide range of options meets your needs.

We strive to provide:

- Multiple recitations / translations for a personalized experience  
- Easy navigation with search, bookmarks, and notes  
- Customizable display settings for comfortable reading  

Your kind words encourage us to keep improving. If you have any suggestions, feature requests, or encounter anything you think could be enhanced, please let us know—your feedback helps us serve the Ummah better.

May Allah reward you abundantly for your support and grant you ease and blessings in every reading.

**JazakAllahu Khair,**  
The [App Name] Support Team."
"Masha'Allah, without single doubt this best and completed Al-Quran App, Alhamdullulillah. Jazakallah khair","[{'aspect': 'App', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your heartfelt appreciation of the app; Alhamdulillah that it serves you as a complete and beneficial means to connect with the Qur’an. Your kind words encourage us to continue serving the Ummah with humility and dedication.  

If you have a moment, we invite you to explore additional features such as the Quran Planner, audio recitations by various scholars, and the topic‑explorer to deepen your daily ibadah. Should you wish to share further thoughts or suggestions, please submit them at feedback.gtaf.org so we may keep enhancing this blessed resource. May Allah accept our efforts and grant you steadfastness in His words. BarakAllahu feekum.","**Wa alaykum as‑salaam wa rahmatullāh,**

Al‑ḥamdu lillāh! We are truly grateful for your kind words and the beautiful duas. 🌹  
It means a great deal to us to know that you consider the app “the best and complete” Qurʾān companion. Your encouragement inspires our team to continue improving the experience for all users.

If you ever have any suggestions, encounter an issue, or simply need assistance with a feature, please don’t hesitate to let us know—we’re here to help. May Allah bless you and reward you for your support, Jazakallah khair jazāk!  

**Warm wishes,**  
The Al‑Qurʾān App Support Team 🙏"
Quite possibly the best Qur'an app out there!,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—knowing that you consider our app “the best Qur’an app out there” truly lifts our hearts and motivates us to continue serving the Ummah with sincerity and humility.  

We invite you to keep exploring the many tools we offer, such as the Quran Planner for daily reading, the diverse recitations and translations, and the Mushaf mode for a familiar layout, so your connection with the Qur’an may grow even deeper. Should you have any ideas for improvement, please submit them at feedback.gtaf.org; your input helps us enhance this blessed service. May Allah accept your good deeds and grant you ease in your ibadah. BarakAllahu feekum.","Thank you so much for your wonderful feedback! 🌸  
We’re delighted to hear that you consider our app the best Qur’an experience available. Your support inspires us to keep improving and adding new features that help everyone connect more deeply with the Qur’an.

If you ever have suggestions, encounter any issues, or just want to share how the app’s helped you, please let us know. May Allah bless you and grant you ease in all your endeavors. 🙏🏼"
Masha allah Great app May allah reward everyone since he is the most merciful Nice app love dark mode...,"[{'aspect': 'allah', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—Al‑hamdulillah that the app, especially the dark mode, has brought you ease and pleasure in your worship. Your kind words are a blessing for the team, and we pray that Allah rewards you abundantly for your encouragement.

If you wish to deepen your experience, you may explore the Quran Planner to set personalized reading goals, try the various reciters and translations, or use the search and topic tools to discover more ayahs that inspire you. Should you have any ideas for new features or encounter anything you’d like us to improve, please let us know at feedback.gtaf.org so we can serve the Ummah even better. May Allah accept our efforts and your du‘ā. BarakAllahu feekum.","Alhamdulillah, thank you for your kind words! We’re delighted to hear you’re enjoying the app and the dark‑mode feature. May Allah reward you abundantly for your encouragement. If you have any suggestions or need assistance, please don’t hesitate to let us know. Jazak Allah khair! 🌙✨"
Very good translation and Tafseer. Easy to understand. Provision of bookmark is very useful. May Allah reward all those who contributed in this project in any way.,"[{'aspect': 'translation', 'polarity': 'Positive'}, {'aspect': 'Tafseer', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app. We are delighted to hear that the translation and tafsīr are clear and helpful, and that the bookmark feature serves you well—may Allah reward all who have contributed to this blessed project.

If you wish to enrich your study further, you may explore the audio recitations or suggest additional languages by tapping **Settings → Feedback** and submitting your ideas at feedback.gtaf.org. May Allah accept your good deeds, increase you in knowledge, and keep the Qur’an close to your heart. BarakAllahu feekum.","Assalamu alaykum wa rahmatullahi wa barakatuh,

Thank you so much for your kind words! We’re delighted to hear that you find the translation, tafsīr, and the bookmark feature helpful and easy to understand. Your encouragement inspires the whole team to keep improving the app and adding more valuable resources for all users.

May Allah reward everyone involved in this project and grant you abundant blessings. If you have any suggestions or need any assistance, please don’t hesitate to let us know.

JazakAllāhu khairan! 🌙📖

— The Islamic App Support Team"
