Review Text,translation,Developer Reply Text
5 stars because this is the best Quran app I've used so far. It has every feature you could want. I appreciate the team for doing such an amazing job!,5 stars because this is the best Quran app I've used so far. It has every feature you could want. I appreciate the team for doing such an amazing job!,
بارك الله فيكم رائع,"God bless you, wonderful",
Quran. Yes.,Quran. Yes.,
Very very helpful,Very very helpful,
"Amazing app, I love this app","Amazing app, I love this app",
"It is the most versatile, most useful app ever...","It is the most versatile, most useful app ever...",
Barokallahu fiikum,Barokallahu fiikum,
Best,Best,
Ма ша Аллах!!,Ma sha Allah!!,
Al Qur'an ini...sungguh indah didengar sebelum tidur..💓💓 Terima kasih telah berbagi kebaikan melalui aplikasi ini💖,This Al Qur'an...it's really beautiful to hear before sleeping..💓💓 Thank you for sharing goodness through this application💖,
Very good app for Quran.But it would be more good if there had a form of Hafizi Quran.,Very good app for Quran.But it would be more good if there had a form of Hafizi Quran.,
I just installed this app and it was really good i was actually surprised for how the app was built. And most important part the app has verryy limited adds.,I just installed this app and it was really good i was actually surprised for how the app was built. And most important part the app has verryy limited adds.,
Saya pengen belajar Al Qur'an,I want to learn the Qur'an,
Kindly plz gave lessons notification daily plz,Kindly plz gave lessons notification daily plz,
Bagus,Good,
ossadharon,ossadharon,
Sudah kuharap sejak lama. Terima kasih.,I've been hoping for a long time. Thank You.,
برنامج جميل جدا,Very nice program,
The only broplem that i find is sometimes i can't change the language,The only broplem that i find is sometimes i can't change the language,
Jazaak Allah,Thank God,
Allah tumhara bhala kare jisne yeh app banaya❤️ alhamdulillah,May Allah bless you who made this app❤️ Alhamdulillah,
Ottimo applicazione,Excellent application,
"Alhamdulliah. This app helps to read and understand the kalam of Allah, the Holy quran. App offers good customization and colored tajweed. May Allah reward the developer with abundance here and hereafter.","Alhamdulliah. This app helps to read and understand the kalam of Allah, the Holy quran. App offers good customization and colored tajweed. May Allah reward the developer with abundance here and hereafter.",
انصحكم بتنزيله,I advise you to download it,
Mashaallah....I read quran from this app regularly Alhamdulillah.,Mashaallah....I read quran from this app regularly Alhamdulillah.,
"Alhamdulilah, may Almighty Allah showers His blessings on the developers of this app (Greentech Apps Foundation) and all Muslim Ummah worldwide.","Alhamdulilah, may Almighty Allah showers His blessings on the developers of this app (Greentech Apps Foundation) and all Muslim Ummah worldwide.",
Trés bonne application,Very good application,
Love it,Love it,
❤️,❤️,
"One of the best Quran, Tafsir, and Word for Word Translation App! If I could, I'd give this 10 stars. I use this often, InshaAllah. Thank you, developers. Jazak Allah.","One of the best Quran, Tafsir, and Word for Word Translation App! If I could, I'd give this 10 stars. I use this often, InshaAllah. Thank you, developers. Jazak Allah.",
As salamu aleikum wa rahmatuLLAHi wa barakatuh. Ist auch eine Einstellung der Lautschrift möglich? Jazzakum ALLAHu khairan!,As salamu aleikum wa rahmatuLLAHi wa barakatuh. Is it also possible to set the phonetic transcription? Jazzakum ALLAHu khairan!,
Excellent Masha Allah ❤️,Excellent Masha Allah ❤️,
Good,Good,
"Керемет приложения,құранды кез келген тілде ауыстырып оқуға мүмкіндік бар❤️‍🩹✊🏻","Great application, it is possible to read the Koran in any language ❤️‍🩹✊🏻",
Love it! May the app developer be rewarded thousands of blessings,Love it! May the app developer be rewarded thousands of blessings,
"Very useful App, May Allah bless them who are working hard to develop this.","Very useful App, May Allah bless them who are working hard to develop this.",
"When I go to any surah from bookmark (last read) and play any ayah, page jumped to next page, I have prepared a video from screen recorder but here there is no option to upload","When I go to any surah from bookmark (last read) and play any ayah, page jumped to next page, I have prepared a video from screen recorder but here there is no option to upload",
"Very good, Alhamdulilah","Very good, Alhamdulilah",
খুবই ভালো,very good,
Its really a nice. I loved It,Its really a nice. I loved It,
Very good,Very good,
Best,Best,
The app is perfect 💜,The app is perfect 💜,
تطبيق ممتاز جزاكم الله خيرا وجعله في ميزان حسناتكم للإشارة هناك خطأ بسيط للقارى نورين الصديق في صورة النمل الآية 24 حيت قال ألا يسجدون لله الدي يخرج الخبء في السموات والأرض ويعلم ما تخفون وما تعلينون هو قال ويعلم ما يخفون وما يعلنون تقبلوا مروري المتواضع وتحياتي لكم جميعا,"Excellent application, may God reward you and put it in the balance of your good deeds. For pointing out, there is a slight error by the reader Noureen Al-Siddiq in the form of ants, verse 24, where he said, “Should they not prostrate to God, the One who brings forth what is hidden in the heavens and the earth, and knows what you hide and what you reveal? He said, ‘And He knows what they hide and what they reveal.’ Accept my humble passage and my greetings to all of you.”",
This app is very good for muslims,This app is very good for muslims,
"All you could want in one place; Breaks down the Arabic, Keeps track of progress and is free.","All you could want in one place; Breaks down the Arabic, Keeps track of progress and is free.",
Not satisfied with Urdu translation and font is broken at many places,Not satisfied with Urdu translation and font is broken at many places,
وهل هناك افضل من كلام الله والدعاء إليه تطبيق قوي ويستحق الدعم قيّموه احسن تقييم وادعموه فالمجهود فيه كبير ويستحق ان يواصل,"Is there anything better than the word of God and supplication to Him? A strong application that deserves support. Give it the best rating and support it, as the effort in it is great and deserves to be continued.",
"অত্যন্ত চমৎকার একটি এপস । যারা কোরআনের পাঠক, যারা প্রতিটি শব্দের অর্থ জানতে চান, যারা শব্দের ব্যুৎপত্তি জানতে চান, তাদের জন্য এটি একটি উত্তম এপস ।","A very nice app. This is a good app for those who are Quran readers, who want to know the meaning of each word, who want to know the etymology of words.",
Outstanding Qur'an app I ever used,Outstanding Qur'an app I ever used,
Man it's great having this app on your phone📲. Feel like I've life guide in my hands👍🏻💖💖,Man it's great having this app on your phone📲. Feel like I've life guide in my hands👍🏻💖💖,
"One of the best Quran apps, I have ever used.","One of the best Quran apps, I have ever used.",
Love it 🥰,Love it 🥰,
Amazing,Amazing,
جميل جزاكم الله كل خير,"Beautiful, may God reward you with all the best",
Excellent,Excellent,
Good app for daily Quran recitation and learning.,Good app for daily Quran recitation and learning.,
Perfect,Perfect,
আলহামদুলিল্লাহ বহুত ভালো একটি আ্যপ তবে অর্থর অডিও থাকলে আরো ভালো হতো,Alhamdulillah very good app but it would have been better if it had paid audio,"Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
جزاكم الله خيرا في الدارين,May God reward you with goodness in both worlds,
Begitu mudahnya membaca dan mendengarkan Al Qur'an lewat aplikasi ini. Simpel dan mudah memakainya. Terima kasih kepada pembuat aplikasi ini semoga Allah SWT merachmati dan memberkahi,"It is so easy to read and listen to the Qur'an through this application. Simple and easy to use. Thank you to the makers of this application, may Allah SWT bless and bless you",
Phenomenal,Phenomenal,
"I like it, very nice app.","I like it, very nice app.",
Очень хорошее приложение,Very good application,
Excellent,Excellent,
Helpfully software...excellent,Helpfully software...excellent,
"Best app for recitation, must go blindly, I used a app in my PC and I am searching that type of app for Android this is the app, repeat, stick on the Verse, etc very good app if you want to recite Al Qur'an then definitely go blindly","Best app for recitation, must go blindly, I used a app in my PC and I am searching that type of app for Android this is the app, repeat, stick on the Verse, etc very good app if you want to recite Al Qur'an then definitely go blindly",
Unable to open tafsir like before,Unable to open tafsir like before,
I got it very helpful,I got it very helpful,
Awesome,Awesome,
Очень удобно,Very comfortably,
Amazing. I was looking for an app like this for several years but just got it. Sarf O Nahv Meaning of each word and its root with English grammar and a lots of things,Amazing. I was looking for an app like this for several years but just got it. Sarf O Nahv Meaning of each word and its root with English grammar and a lots of things,
MashaAllah,MashaAllah,
Bagus banget smoga berkah,"Very good, good luck",
Good,Good,
بارك الله فيكم ❤️🤲🏼,God bless you ❤️🤲🏼,
"The most intellectual one,,they used the most needful tech for this,,","The most intellectual one,,they used the most needful tech for this,,",
มีประโยคมากครับ,There are many sentences.,
جزاكم الله خيرآ,May God reward you,
Bagus banget terimakasih.,"Very good, thank you.",
"MashaAllah, Terima kasih kepada pengembang karena telah membuat aplikasi yang luar biasa ini.","MashaAllah, Thanks to the developer for making this amazing app.",
"На данный момент для меня это стало лучшем приложением в заучивании Корана. Особенно очень удобно в аудио указать сколько именно аятов тебе надо сколько раз они будут повторяться , а так же сколько раз будет повторятся каждый аят. А так же очень удобно что есть перевод каждого отдельного слова, что позволяет брать глаголы и так же изучать слова по отдельно юсти для использования в разговоре","At the moment, this has become the best application for memorizing the Quran for me. It is especially convenient to indicate in the audio exactly how many verses you need, how many times they will be repeated, as well as how many times each verse will be repeated. It’s also very convenient that there is a translation of each individual word, which allows you to take verbs and also study words separately for use in conversation",
Great app !!!,Great app !!!,
Besttt,Besttt,
Un ottima App per la lettura e comprensione del Sacro Corano che Allah(SWT) possa aiutarvi nello sviluppo del applicazione,An excellent App for reading and understanding the Holy Quran may Allah(SWT) help you in developing the application,
Alhamdulillah!,Alhamdulillah!,
Beautiful ❤️ app,Beautiful ❤️ app,
Alhamdulillah.,Alhamdulillah.,
ممتاز جدا,excellent,
😍😙,😍😙,
"Alhamdulillah, this is a amazing app.","Alhamdulillah, this is a amazing app.",BarakAllahu feekum for your kind words and support. Pray for us so that Allah may accept our efforts. Visit gtaf.org to check our other apps and share with others in sha Allah!
جزاكم الله خيرا,May God reward you,
Like very much this may allah reward them with jannah those prepared this app.developer,Like very much this may allah reward them with jannah those prepared this app.developer,
تطبيق مفيد جزا الله خيرا صاحبه,"A useful application, may God reward its owner",
Perfect,Perfect,
"Alhamdulillah found this app very useful. Only request i have is to add all the essential duas, such as, dua Masura, Sana, Tashahhud etc.","Alhamdulillah found this app very useful. Only request i have is to add all the essential duas, such as, dua Masura, Sana, Tashahhud etc.",
It has been an amazing app to read the Quran. the tafsir part is apt to reflect on the meaning of verses,It has been an amazing app to read the Quran. the tafsir part is apt to reflect on the meaning of verses,
ممتاز,Prominent,
Mashallah,Mashallah,
Very good app. But the word-by-word translation into French is lacking. Thanks for reviewing this.,Very good app. But the word-by-word translation into French is lacking. Thanks for reviewing this.,"Assalamu 'alaykum, exciting news! French Word-by-Word Quran translation is finally available. Check this article https://gtaf.org/blog/french-word-by-word-quran-translation/ to learn how to enable it in the app. Share with others so they can also benefit from this during Ramadan, in sha Allah!"
Очень нравится!,Really like!,
Mashallah Allahouma barik,Mashallah God bless you,
App টা সত্যিই অসাধারণ!,The app is really great!,"Assalamu 'alaykum dear user. We would love to make your experience better in sha Allah. If you are still facing the same issues or have any feature requests, please provide your feedback on feedback.gtaf.org. JazakAllahu khayran."
Very good and Handy,Very good and Handy,
Superbe application. Bravo qu'Allah vous récompense grandement ici bas et dans l'au delà. merci énormément pour votre travail.,"Great app. Well done, may Allah reward you greatly here and in the hereafter. thank you very much for your work.",
nice ❤️❤️,nice ❤️❤️,
Subhanallah such a helpful app must download,Subhanallah such a helpful app must download,
💖,💖,
🤍 This Al Quran app is Maasha Allah 🤍😊 May The Almighty Allah bless anyone that contributed in bringing up this application Amiin thumma Amiin 🙏😊,🤍 This Al Quran app is Maasha Allah 🤍😊 May The Almighty Allah bless anyone that contributed in bringing up this application Amiin thumma Amiin 🙏😊,
Very satisfied. But the search could be improved a bit more.,Very satisfied. But the search could be improved a bit more.,
"Wow what a beautiful Quran app,I enjoy these app,I recommended it to all my Muslim brother and sister in islam","Wow what a beautiful Quran app,I enjoy these app,I recommended it to all my Muslim brother and sister in islam",
I have to say it's one of the best apps I've come across you can download recitations from different qari for one surah and best of all infinity repeat until you get the aya right. May Allah bless you and us all. Amin,I have to say it's one of the best apps I've come across you can download recitations from different qari for one surah and best of all infinity repeat until you get the aya right. May Allah bless you and us all. Amin,
Baarakallahu fiikum,Baarakkallahu fiikum,
Alhamdulillah. I find Appa very helpful in understanding Al Quran. T you.,Alhamdulillah. I find Appa very helpful in understanding Al Quran. T you.,"""Assalamu ‘alaykum wa rahmatullah. JazakAllahu khairan for reaching out to us! If you would like us to improve please provide your valuable feedback and suggestions here https://gtaf.canny.io/"""
تطبيق رائع جدا انصح الجميع بتحميله. جزاهم الله خير الجزاء,A very wonderful application. I advise everyone to download it. May God reward them well,
هذا البرنامج ممتاز ماشاء الله,"This program is excellent, God willing",
"অসাধারণ এপ, বিশেষ করে আয়াত বুকমার্ক এর সিস্টেম টা, এরকম একটা সিস্টেম খুঁজতেছিলাম। একটা সাজেশন - আয়াত বুকমার্ক এর জন্য আয়াতের পাশে বুকমার্ক এর আলাদা একটা বাটন থাকলে ভালো হত। তাহলে তেলাওয়াতের মাঝে বিঘ্ন কম ঘটতো।","Great app, especially the verse bookmark system, I was looking for a system like this. One suggestion - it would be nice to have a separate bookmark button next to the verse for bookmarking verses. Then there would be fewer interruptions between recitations.",
Baraka Llah,Baraka Allah,
Alhamdulillah very beautiful app 💖 So much options in there 👍🏻,Alhamdulillah very beautiful app 💖 So much options in there 👍🏻,
"It is a very good app, the Best part about it is that it doesn't have ads, and it is easy to plan a khitam.","It is a very good app, the Best part about it is that it doesn't have ads, and it is easy to plan a khitam.",
"It has been a great app to deepen the connection with Quran. Tafsir, and daily verse reminders are helping me to understand the Quran.","It has been a great app to deepen the connection with Quran. Tafsir, and daily verse reminders are helping me to understand the Quran.",
"Facing difficulty while playing audio. When Play button is pressed, It ask to delete the existing downloaded file. After delete it tries to download the sura and after successful download it again ask to delete the downloaded file and the loop continues.","Facing difficulty while playing audio. When Play button is pressed, It ask to delete the existing downloaded file. After delete it tries to download the sura and after successful download it again ask to delete the downloaded file and the loop continues.",
Great!,Great!,
"Aplikasi ini banyak ilmu yg kami dapatkan, Semoga Alloh memberikan keberkahan, rizky yg luas, dan di mudahkan segala urusannya untuk yg membuat dan yg mengelola aplikasi ini","We have gained a lot of knowledge from this application. May Allah give blessings, wide fortune, and make everything easy for those who create and manage this application.",
بسیار عالی خداوند اجر نصیب شما سازنده کند,God bless you very much,
This quran is so beautiful 😊app,This quran is so beautiful 😊app,
Bagus,Good,
"The app is excellent I used for a long time,it is easy any one can use it I give it 5 🌟 s","The app is excellent I used for a long time,it is easy any one can use it I give it 5 🌟 s",
"Lengkap ditandai dengan tajwid dan tanda baca, tukisan bisa diatur dilengkapi dengan nahwu tinggal di atur, tampilan juga bisa per ayat bisa 1 halaman penuh, fitur cukup untuk membantuu baca quran","Completely marked with tajwid and punctuation, the painting can be adjusted, complete with nahwu, just adjust it, the display can also be per verse, it can be 1 full page, enough features to help you read the Koran",
Nice apps,Nice apps,
Masaallah beautiful 😍😍😍 app,Mashallah beautiful 😍😍😍 app,
"I have no words to describe about this app, ma shaa allah too good, alhamdulilah my day starts and ends with this app, jazakh allah khair to the entire team. I would recommend this app for every Muslim of this ummah.","I have no words to describe about this app, ma shaa allah too good, alhamdulilah my day starts and ends with this app, jazakh allah khair to the entire team. I would recommend this app for every Muslim of this ummah.",
I've found it very useful.,I've found it very useful.,
MaShaAllah,MaShaAllah,
Sederhana dan mudah untuk pelajari,Simple and easy to learn,"""Assalamu ‘alaykum wa rahmatullah. JazakAllahu khairan for reaching out to us! If you would like us to improve please provide your valuable feedback and suggestions here https://gtaf.canny.io/"""
Good app ..Tamil translation also available,Good app ..Tamil translation also available,
Best app ever in my opinion,Best app ever in my opinion,
Alhamdulillah it's a wonderful app very helpful and easy to use..May ALLAH reward you with the best reward you deserve it..jazakallahu khair✨️🌼,Alhamdulillah it's a wonderful app very helpful and easy to use..May ALLAH reward you with the best reward you deserve it..jazakallahu khair✨️🌼,
لازلت أكتشفه لكن حتي الان عظيم عظيم عظيم ، انصح المبرمجين ان أرادوا تحديث شئ فهو اضافه تفسيرات المفسرين القدامي من العرب الكتاب الكريم و افضل برنامج تستنبط عنه هو ((تدبر و عمل))👌💙 ،ارجوكم لا تنسوا افضل ما بالبرنامج هو بساطته. 👉❤️,"I'm still discovering it, but so far, it's great, great, great. I advise programmers if they want to update something, it is to add interpretations of the ancient Arab commentators of the Holy Book, and the best program to draw from it is ((Contemplation and Action))👌💙, please do not forget the best thing about the program is its simplicity. 👉❤️",
Sangat bagus dan membantu sekali semoga ini akan ttp bertahan dan tidak berkurang kualitas nya dan terus bermanfaat. Pokoknya ini rekomended bgt. MasyaAllah.. Ta barakallah,"Very good and very helpful. Hopefully this will last and not reduce its quality and continue to be useful. Anyway, this is highly recommended. MashaAllah.. Ta barakallah",
Menga juda yoqdi .Allohga shukur ayni qorilar o'qiydigan dastur bolibdi.imkoniyatlari keng ekan,"I liked it very much. Thank God, there was a program for the same students. There are many opportunities.",
Good app,Good app,
سبحان اللہ,Subhan Allah,
تطبيق رائع,Great app,
It's extremely helpful... I will make dua for whoever made this app in sha Allah,It's extremely helpful... I will make dua for whoever made this app in sha Allah,
The ui is very user-friendly and well thought off.,The ui is very user-friendly and well thought off.,
بارك الله فيكو,God bless you,
اعجبني,Like,
"Maa scha Allah, dzezakalkahukhriren",May God bless you,
Excellent app. Just a few bugs with new update. If 2 reciters selected and you pause Adio or select next ayah will not play both reciters and will revert to last played reciter. Also last ayah of surah only plays one reciter,Excellent app. Just a few bugs with new update. If 2 reciters selected and you pause Adio or select next ayah will not play both reciters and will revert to last played reciter. Also last ayah of surah only plays one reciter,
Very good app elhamdulilah,Very good app elhamdulilah,
👍👍,👍👍,
Best thing I've ever seen in my lifeee🤍,Best thing I've ever seen in my lifeee🤍,"Assalamu 'alaykum, JazakAllahu khairan for your feedback. Keep us in your Duas so that we may continue to improve the app and add new features gradually, in sha Allah. Visit gtaf.org to check our other apps! Share with your friends and family and be part of the reward from Allah SWT, in sha Allah. — AM, GTAF Team"
Extremely good,Extremely good,
Alloh rozi bo'lsin,May God be pleased,
ماشاءالله تبارك الرحمن ممتاز جدا جدا,"Mashallah, Blessed be the Most Merciful, very, very excellent",
"This app is very good,useful,important. one who wants to read quran its Very useful for them.you can read in any print, with meaning in almost any language, learn word by word meaning, can hear your favourite qari voice,also can read famous tasfir..and You'll get tajweed sign print too So I think It's very beautiful. 🖤🖤🖤","This app is very good,useful,important. one who wants to read quran its Very useful for them.you can read in any print, with meaning in almost any language, learn word by word meaning, can hear your favourite qari voice,also can read famous tasfir..and You'll get tajweed sign print too So I think It's very beautiful. 🖤🖤🖤",
ممتاز,Prominent,
Me love God new and make me like this app too Alhamdulillh,Me love God new and make me like this app too Alhamdulillh,
Ma sha Allah good work.,Ma sha Allah good work.,
Best Quran App that I've used so far. Could be much better if the Tafsir was a longer version.,Best Quran App that I've used so far. Could be much better if the Tafsir was a longer version.,
انصح كل مسلم يرغب بحفط القرآن الكريم تنزيل هذا التطبيق الجميل,I advise every Muslim who wants to memorize the Holy Qur’an to download this beautiful application,
Terbaik,The best,
This app is so amazing you can find any mufti sound furthermore most interesting I found you can play any surah and can lock your mobile it cotinues until surah is finish I repeat this many times. Thanks to one who developed this app. May Allah bless him/her whoever developed this app. AMEEN SUMMA AMEEN YA RABB,This app is so amazing you can find any mufti sound furthermore most interesting I found you can play any surah and can lock your mobile it cotinues until surah is finish I repeat this many times. Thanks to one who developed this app. May Allah bless him/her whoever developed this app. AMEEN SUMMA AMEEN YA RABB,
التطبيق حسن بارك الله فيكم,"Good application, God bless you",
"Alhamdulillah aplikasi ini memuaskan saya dan keluarga, lengkap memuat petunjuk ibadah, akademik, inspirasi dalam segala aspek kehidupan, aplikasi ini juga memberi kemudahan menjawab pertanyaan pelik secara seper cepat yang tidak bisa saya cari ditempat lain, terutama bagaimana menemukan makna komperhensif yang menghubungkan arti makna kata dalam satu titik pencipta pemelihara penggerak ciptaan sekaligus cinta tanpa batas. Sehingga aplikasi ini layak untuk dimiliki setiap manusia keseluruhan","Alhamdulillah, this application satisfies me and my family, it contains complete instructions for worship, academics, inspiration in all aspects of life, this application also makes it easy to answer complicated questions quickly that I can't find anywhere else, especially how to find comprehensive meanings that connect the meanings of words. in one point, the creator is the keeper of creation and unlimited love. So this application is worthy of being owned by every human being",
Thanks for this app,Thanks for this app,
Alhamdulillah sangat bermanfaat,"Alhamdulillah, very useful",
"Very good experience, a lot of options available and on top of all, portable","Very good experience, a lot of options available and on top of all, portable",
Good experience,Good experience,
Super excellent. JazakumuLloohu Khayr,Super excellent. JazakumuLloohu Khayr,
"When i open in tafsir/ mode, aplication chrass and close","When i open in tafsir/ mode, aplication chrass and close",
Thanks for helping me read,Thanks for helping me read,
Fantastic,Fantastic,
Jazak Allah khair,May God reward you,
تطبيق ممتاز,Excellent application,
Saya tidak seberapa suka dengan aplikasi ini karena kurang penerjemah bahasa Indonesia nya.,I don't really like this application because it doesn't have an Indonesian translator.,
"Jazakallah,good app","Jazakallah, good app",
رائع يستحق التحميل,"Great, worth downloading",
MashaAllah bohat mufeed ap hy,MashaAllah bohat mufeed ap hy,
It's a nice and friendly used App.,It's a nice and friendly used App.,
Masha Allah very good app I can read it with surah para and and every surah and para define with pages no and rukh that's amazing I suggest to everyone install,Masha Allah very good app I can read it with surah para and and every surah and para define with pages no and rukh that's amazing I suggest to everyone install,
The best Al Quran App.! in my opinion.My consideration is based on the various features it provides.Love the reciting by Husary(the mualim version)helps alot in pronounciation.The colored arabic letters helps in affirming the type of tajwid to be applied.The ability to create folders and notes really helps alot.These are some of the features edging this app from the others.Kudos Greentech.Only Allah can reward your team for the good job.,The best Al Quran App.! in my opinion.My consideration is based on the various features it provides.Love the reciting by Husary(the mualim version)helps alot in pronounciation.The colored arabic letters helps in affirming the type of tajwid to be applied.The ability to create folders and notes really helps alot.These are some of the features edging this app from the others.Kudos Greentech.Only Allah can reward your team for the good job.,
ممتاز بارك الله فيكم,"Excellent, God bless you",
"I am so much more excited with this app because I achieved a lot of things from it especially the translation part of it. And like wise the way it's was been program and as it's contain a lot of tangible things, but the little problem it has is that when opening it, it will keep on stop. So it will be very excited if that problem is well considered and solved.","I am so much more excited with this app because I achieved a lot of things from it especially the translation part of it. And like wise the way it's was been program and as it's contain a lot of tangible things, but the little problem it has is that when opening it, it will keep on stop. So it will be very excited if that problem is well considered and solved.",
Gives me a better understanding of Quran,Gives me a better understanding of Quran,
رائع جداا,Very cool,
Very nice app,Very nice app,
جميل والله ربنا يبارك لكم,"Beautiful, may God bless you",
The best application for those looking for the virtual Quran...,The best application for those looking for the virtual Quran...,
"Very very useful,All Maighty ALLAH may bless you,Thanks.I have not tried offline yet.","Very very useful,All Maighty ALLAH may bless you,Thanks.I have not tried offline yet.",
