Review,feature,ads,performance,overall_sentiment
Great app,Positive,Positive,Positive,positive
Million Stars!!!,Positive,Neutral,Positive,positive
Alhamdulillah. A very good up,Positive,Positive,Positive,positive
It's user friendly and really educational,Positive,Positive,Positive,positive
"It's my favorite app, but it has been crashing too much over the past month. I'm not sure what happened to it.",Neutral,Negative,Negative,negative
Alhamdulillah lasers.,Neutral,Neutral,Neutral,positive
Great app Allah is Great,Positive,Positive,Positive,positive
Very beneficial and use to use.,Positive,Positive,Positive,positive
It's a great app.,Positive,Neutral,Positive,positive
"Alhamdulillah. Much delighted getting such an app. This app will undoubtedly help those who are looking for guidance, peace & satisfaction in a true sense. ""Al Quran ""- complete & perfect code of our life. May Allah protect us from the evils of the devil.",Positive,Positive,Positive,positive
better,Positive,Positive,Positive,positive
5 stars because this is the best Quran app I've used so far. It has every feature you could want. I appreciate the team for doing such an amazing job!,Positive,Positive,Positive,positive
"God bless you, wonderful",Positive,Positive,Positive,positive
Quran. Yes.,Positive,Neutral,Positive,neutral
Very very helpful,Positive,Positive,Positive,positive
"Amazing app, I love this app",Positive,Positive,Positive,positive
"It is the most versatile, most useful app ever...",Positive,Neutral,Positive,positive
Barokallahu fiikum,Neutral,Neutral,Neutral,positive
Best,Positive,Positive,Positive,positive
Ma sha Allah!!,Neutral,Neutral,Positive,positive
This Al Qur'an...it's really beautiful to hear before sleeping..💓💓 Thank you for sharing goodness through this application💖,Positive,Positive,Positive,positive
Very good app for Quran.But it would be more good if there had a form of Hafizi Quran.,Positive,Neutral,Positive,positive
I just installed this app and it was really good i was actually surprised for how the app was built. And most important part the app has verryy limited adds.,Positive,Positive,Positive,positive
I want to learn the Qur'an,Neutral,Neutral,Neutral,neutral
Kindly plz gave lessons notification daily plz,Neutral,Neutral,Positive,neutral
Good,Positive,Positive,Positive,positive
ossadharon,Neutral,Neutral,Positive,negative
I've been hoping for a long time. Thank You.,Neutral,Neutral,Positive,positive
Very nice program,Positive,Positive,Positive,positive
The only broplem that i find is sometimes i can't change the language,Negative,Negative,Negative,negative
Thank God,Positive,Positive,Positive,positive
May Allah bless you who made this app❤️ Alhamdulillah,Positive,Positive,Positive,positive
Excellent application,Positive,Positive,Positive,positive
"Alhamdulliah. This app helps to read and understand the kalam of Allah, the Holy quran. App offers good customization and colored tajweed. May Allah reward the developer with abundance here and hereafter.",Positive,Positive,Positive,positive
I advise you to download it,Positive,Positive,Positive,neutral
Mashaallah....I read quran from this app regularly Alhamdulillah.,Neutral,Negative,Neutral,positive
"Alhamdulilah, may Almighty Allah showers His blessings on the developers of this app (Greentech Apps Foundation) and all Muslim Ummah worldwide.",Neutral,Neutral,Positive,positive
Very good application,Positive,Positive,Positive,positive
Love it,Positive,Positive,Positive,positive
❤️,Positive,Positive,Positive,positive
"One of the best Quran, Tafsir, and Word for Word Translation App! If I could, I'd give this 10 stars. I use this often, InshaAllah. Thank you, developers. Jazak Allah.",Positive,Positive,Positive,positive
As salamu aleikum wa rahmatuLLAHi wa barakatuh. Is it also possible to set the phonetic transcription? Jazzakum ALLAHu khairan!,Neutral,Neutral,Neutral,positive
Excellent Masha Allah ❤️,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
"Great application, it is possible to read the Koran in any language ❤️‍🩹✊🏻",Positive,Positive,Positive,positive
Love it! May the app developer be rewarded thousands of blessings,Positive,Positive,Positive,positive
"Very useful App, May Allah bless them who are working hard to develop this.",Positive,Neutral,Positive,positive
"When I go to any surah from bookmark (last read) and play any ayah, page jumped to next page, I have prepared a video from screen recorder but here there is no option to upload",Negative,Negative,Negative,neutral
"Very good, Alhamdulilah",Positive,Neutral,Positive,positive
very good,Positive,Positive,Positive,positive
Its really a nice. I loved It,Positive,Positive,Positive,positive
Very good,Positive,Positive,Positive,positive
Best,Positive,Positive,Positive,positive
The app is perfect 💜,Positive,Positive,Positive,positive
"Excellent application, may God reward you and put it in the balance of your good deeds. For pointing out, there is a slight error by the reader Noureen Al-Siddiq in the form of ants, verse 24, where he said, “Should they not prostrate to God, the One who brings forth what is hidden in the heavens and the earth, and knows what you hide and what you reveal? He said, ‘And He knows what they hide and what they reveal.’ Accept my humble passage and my greetings to all of you.”",Neutral,Neutral,Positive,neutral
This app is very good for muslims,Positive,Positive,Positive,positive
"All you could want in one place; Breaks down the Arabic, Keeps track of progress and is free.",Positive,Neutral,Positive,positive
Not satisfied with Urdu translation and font is broken at many places,Negative,Negative,Negative,negative
"Is there anything better than the word of God and supplication to Him? A strong application that deserves support. Give it the best rating and support it, as the effort in it is great and deserves to be continued.",Positive,Positive,Positive,positive
"A very nice app. This is a good app for those who are Quran readers, who want to know the meaning of each word, who want to know the etymology of words.",Positive,Positive,Positive,positive
Outstanding Qur'an app I ever used,Positive,Positive,Positive,positive
Man it's great having this app on your phone📲. Feel like I've life guide in my hands👍🏻💖💖,Positive,Positive,Positive,positive
"One of the best Quran apps, I have ever used.",Neutral,Neutral,Positive,positive
Love it 🥰,Positive,Positive,Positive,positive
Amazing,Positive,Positive,Positive,positive
"Beautiful, may God reward you with all the best",Positive,Positive,Positive,positive
Excellent,Positive,Positive,Positive,positive
Good app for daily Quran recitation and learning.,Positive,Neutral,Positive,positive
Perfect,Positive,Positive,Positive,positive
Alhamdulillah very good app but it would have been better if it had paid audio,Positive,Positive,Positive,positive
May God reward you with goodness in both worlds,Positive,Positive,Positive,positive
"It is so easy to read and listen to the Qur'an through this application. Simple and easy to use. Thank you to the makers of this application, may Allah SWT bless and bless you",Positive,Positive,Positive,positive
Phenomenal,Positive,Positive,Positive,positive
"I like it, very nice app.",Positive,Positive,Positive,positive
Very good application,Positive,Positive,Positive,positive
Excellent,Positive,Positive,Positive,positive
Helpfully software...excellent,Positive,Positive,Positive,positive
"Best app for recitation, must go blindly, I used a app in my PC and I am searching that type of app for Android this is the app, repeat, stick on the Verse, etc very good app if you want to recite Al Qur'an then definitely go blindly",Positive,Positive,Positive,positive
Unable to open tafsir like before,Negative,Neutral,Negative,negative
I got it very helpful,Positive,Positive,Positive,positive
Awesome,Positive,Positive,Positive,positive
Very comfortably,Positive,Positive,Positive,positive
Amazing. I was looking for an app like this for several years but just got it. Sarf O Nahv Meaning of each word and its root with English grammar and a lots of things,Positive,Positive,Positive,positive
MashaAllah,Neutral,Neutral,Positive,positive
"Very good, good luck",Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
God bless you ❤️🤲🏼,Neutral,Neutral,Positive,positive
"The most intellectual one,,they used the most needful tech for this,,",Positive,Positive,Positive,positive
There are many sentences.,Neutral,Neutral,Neutral,neutral
May God reward you,Neutral,Positive,Positive,positive
"Very good, thank you.",Positive,Neutral,Positive,positive
"MashaAllah, Thanks to the developer for making this amazing app.",Neutral,Neutral,Positive,positive
"At the moment, this has become the best application for memorizing the Quran for me. It is especially convenient to indicate in the audio exactly how many verses you need, how many times they will be repeated, as well as how many times each verse will be repeated. It’s also very convenient that there is a translation of each individual word, which allows you to take verbs and also study words separately for use in conversation",Positive,Positive,Positive,positive
Great app !!!,Positive,Positive,Positive,positive
Besttt,Positive,Positive,Positive,positive
An excellent App for reading and understanding the Holy Quran may Allah(SWT) help you in developing the application,Positive,Positive,Positive,positive
Alhamdulillah!,Neutral,Neutral,Positive,positive
Beautiful ❤️ app,Positive,Positive,Positive,positive
Alhamdulillah.,Neutral,Neutral,Positive,positive
excellent,Positive,Positive,Positive,positive
😍😙,Positive,Neutral,Positive,positive
"Alhamdulillah, this is a amazing app.",Positive,Neutral,Positive,positive
May God reward you,Neutral,Positive,Positive,positive
Like very much this may allah reward them with jannah those prepared this app.developer,Positive,Positive,Positive,positive
"A useful application, may God reward its owner",Positive,Positive,Positive,positive
Perfect,Positive,Positive,Positive,positive
"Alhamdulillah found this app very useful. Only request i have is to add all the essential duas, such as, dua Masura, Sana, Tashahhud etc.",Positive,Positive,Positive,positive
It has been an amazing app to read the Quran. the tafsir part is apt to reflect on the meaning of verses,Positive,Positive,Positive,positive
Prominent,Positive,Neutral,Positive,neutral
Mashallah,Neutral,Neutral,Neutral,positive
Very good app. But the word-by-word translation into French is lacking. Thanks for reviewing this.,Neutral,Neutral,Negative,negative
Really like!,Positive,Positive,Positive,positive
Mashallah God bless you,Neutral,Neutral,Positive,positive
The app is really great!,Positive,Neutral,Positive,positive
Very good and Handy,Positive,Positive,Positive,positive
"Great app. Well done, may Allah reward you greatly here and in the hereafter. thank you very much for your work.",Positive,Neutral,Positive,positive
nice ❤️❤️,Positive,Positive,Positive,positive
Subhanallah such a helpful app must download,Positive,Positive,Positive,positive
💖,Neutral,Neutral,Positive,positive
🤍 This Al Quran app is Maasha Allah 🤍😊 May The Almighty Allah bless anyone that contributed in bringing up this application Amiin thumma Amiin 🙏😊,Neutral,Neutral,Neutral,positive
Very satisfied. But the search could be improved a bit more.,Positive,Positive,Positive,positive
"Wow what a beautiful Quran app,I enjoy these app,I recommended it to all my Muslim brother and sister in islam",Positive,Positive,Positive,positive
I have to say it's one of the best apps I've come across you can download recitations from different qari for one surah and best of all infinity repeat until you get the aya right. May Allah bless you and us all. Amin,Positive,Positive,Positive,positive
Baarakkallahu fiikum,Neutral,Neutral,Neutral,positive
Alhamdulillah. I find Appa very helpful in understanding Al Quran. T you.,Positive,Neutral,Positive,positive
A very wonderful application. I advise everyone to download it. May God reward them well,Positive,Positive,Positive,positive
"This program is excellent, God willing",Positive,Positive,Positive,positive
"Great app, especially the verse bookmark system, I was looking for a system like this. One suggestion - it would be nice to have a separate bookmark button next to the verse for bookmarking verses. Then there would be fewer interruptions between recitations.",Positive,Positive,Positive,positive
Baraka Allah,Neutral,Neutral,Neutral,positive
Alhamdulillah very beautiful app 💖 So much options in there 👍🏻,Positive,Positive,Positive,positive
"It is a very good app, the Best part about it is that it doesn't have ads, and it is easy to plan a khitam.",Positive,Negative,Positive,positive
"It has been a great app to deepen the connection with Quran. Tafsir, and daily verse reminders are helping me to understand the Quran.",Positive,Positive,Positive,positive
"Facing difficulty while playing audio. When Play button is pressed, It ask to delete the existing downloaded file. After delete it tries to download the sura and after successful download it again ask to delete the downloaded file and the loop continues.",Negative,Negative,Negative,negative
Great!,Positive,Positive,Positive,positive
"We have gained a lot of knowledge from this application. May Allah give blessings, wide fortune, and make everything easy for those who create and manage this application.",Positive,Positive,Positive,positive
God bless you very much,Positive,Neutral,Positive,positive
This quran is so beautiful 😊app,Neutral,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
"The app is excellent I used for a long time,it is easy any one can use it I give it 5 🌟 s",Positive,Positive,Positive,positive
"Completely marked with tajwid and punctuation, the painting can be adjusted, complete with nahwu, just adjust it, the display can also be per verse, it can be 1 full page, enough features to help you read the Koran",Positive,Positive,Positive,neutral
Nice apps,Positive,Positive,Positive,positive
Mashallah beautiful 😍😍😍 app,Positive,Positive,Positive,positive
"I have no words to describe about this app, ma shaa allah too good, alhamdulilah my day starts and ends with this app, jazakh allah khair to the entire team. I would recommend this app for every Muslim of this ummah.",Positive,Positive,Positive,positive
I've found it very useful.,Positive,Neutral,Positive,positive
MaShaAllah,Neutral,Neutral,Positive,positive
Simple and easy to learn,Positive,Positive,Positive,positive
Good app ..Tamil translation also available,Positive,Positive,Positive,positive
Best app ever in my opinion,Positive,Positive,Positive,positive
Alhamdulillah it's a wonderful app very helpful and easy to use..May ALLAH reward you with the best reward you deserve it..jazakallahu khair✨️🌼,Positive,Positive,Positive,positive
"I'm still discovering it, but so far, it's great, great, great. I advise programmers if they want to update something, it is to add interpretations of the ancient Arab commentators of the Holy Book, and the best program to draw from it is ((Contemplation and Action))👌💙, please do not forget the best thing about the program is its simplicity. 👉❤️",Positive,Positive,Positive,positive
"Very good and very helpful. Hopefully this will last and not reduce its quality and continue to be useful. Anyway, this is highly recommended. MashaAllah.. Ta barakallah",Positive,Positive,Positive,positive
"I liked it very much. Thank God, there was a program for the same students. There are many opportunities.",Positive,Positive,Positive,positive
Good app,Positive,Positive,Positive,positive
Subhan Allah,Neutral,Neutral,Positive,positive
Great app,Positive,Positive,Positive,positive
It's extremely helpful... I will make dua for whoever made this app in sha Allah,Positive,Positive,Positive,positive
The ui is very user-friendly and well thought off.,Positive,Positive,Positive,positive
God bless you,Positive,Neutral,Positive,positive
Like,Positive,Positive,Positive,neutral
May God bless you,Neutral,Neutral,Positive,positive
Excellent app. Just a few bugs with new update. If 2 reciters selected and you pause Adio or select next ayah will not play both reciters and will revert to last played reciter. Also last ayah of surah only plays one reciter,Negative,Negative,Negative,negative
Very good app elhamdulilah,Positive,Positive,Positive,positive
👍👍,Neutral,Neutral,Positive,positive
Best thing I've ever seen in my lifeee🤍,Positive,Positive,Positive,positive
Extremely good,Positive,Positive,Positive,positive
May God be pleased,Neutral,Neutral,Neutral,positive
"Mashallah, Blessed be the Most Merciful, very, very excellent",Positive,Positive,Positive,positive
"This app is very good,useful,important. one who wants to read quran its Very useful for them.you can read in any print, with meaning in almost any language, learn word by word meaning, can hear your favourite qari voice,also can read famous tasfir..and You'll get tajweed sign print too So I think It's very beautiful. 🖤🖤🖤",Positive,Positive,Positive,positive
Prominent,Positive,Neutral,Positive,neutral
Me love God new and make me like this app too Alhamdulillh,Positive,Positive,Positive,positive
Ma sha Allah good work.,Neutral,Positive,Positive,positive
Best Quran App that I've used so far. Could be much better if the Tafsir was a longer version.,Negative,Negative,Negative,positive
I advise every Muslim who wants to memorize the Holy Qur’an to download this beautiful application,Positive,Positive,Positive,positive
The best,Positive,Positive,Positive,positive
This app is so amazing you can find any mufti sound furthermore most interesting I found you can play any surah and can lock your mobile it cotinues until surah is finish I repeat this many times. Thanks to one who developed this app. May Allah bless him/her whoever developed this app. AMEEN SUMMA AMEEN YA RABB,Positive,Positive,Positive,positive
"Good application, God bless you",Positive,Positive,Positive,positive
"Alhamdulillah, this application satisfies me and my family, it contains complete instructions for worship, academics, inspiration in all aspects of life, this application also makes it easy to answer complicated questions quickly that I can't find anywhere else, especially how to find comprehensive meanings that connect the meanings of words. in one point, the creator is the keeper of creation and unlimited love. So this application is worthy of being owned by every human being",Positive,Positive,Positive,positive
Thanks for this app,Positive,Positive,Positive,positive
"Alhamdulillah, very useful",Positive,Positive,Positive,positive
"Very good experience, a lot of options available and on top of all, portable",Positive,Positive,Positive,positive
Good experience,Positive,Positive,Positive,positive
Super excellent. JazakumuLloohu Khayr,Positive,Positive,Positive,positive
"When i open in tafsir/ mode, aplication chrass and close",Negative,Neutral,Negative,neutral
Thanks for helping me read,Neutral,Neutral,Positive,positive
Fantastic,Positive,Positive,Positive,positive
May God reward you,Neutral,Positive,Positive,positive
Excellent application,Positive,Positive,Positive,positive
I don't really like this application because it doesn't have an Indonesian translator.,Negative,Neutral,Negative,negative
"Jazakallah, good app",Positive,Positive,Positive,positive
"Great, worth downloading",Positive,Positive,Positive,positive
MashaAllah bohat mufeed ap hy,Neutral,Neutral,Neutral,positive
It's a nice and friendly used App.,Positive,Positive,Positive,positive
Masha Allah very good app I can read it with surah para and and every surah and para define with pages no and rukh that's amazing I suggest to everyone install,Positive,Positive,Positive,positive
The best Al Quran App.! in my opinion.My consideration is based on the various features it provides.Love the reciting by Husary(the mualim version)helps alot in pronounciation.The colored arabic letters helps in affirming the type of tajwid to be applied.The ability to create folders and notes really helps alot.These are some of the features edging this app from the others.Kudos Greentech.Only Allah can reward your team for the good job.,Positive,Positive,Positive,positive
"Excellent, God bless you",Positive,Positive,Positive,positive
"I am so much more excited with this app because I achieved a lot of things from it especially the translation part of it. And like wise the way it's was been program and as it's contain a lot of tangible things, but the little problem it has is that when opening it, it will keep on stop. So it will be very excited if that problem is well considered and solved.",Negative,Negative,Negative,positive
Gives me a better understanding of Quran,Positive,Positive,Positive,positive
Very cool,Positive,Positive,Positive,positive
Very nice app,Positive,Positive,Positive,positive
"Beautiful, may God bless you",Positive,Positive,Positive,positive
The best application for those looking for the virtual Quran...,Positive,Neutral,Positive,positive
"Very very useful,All Maighty ALLAH may bless you,Thanks.I have not tried offline yet.",Positive,Neutral,Positive,positive
Great app... In Sha Allah will help us all learn the Quran. Incredibly convenient features and excellent learning will be limited to you. Start studying the Quran and you will understand everything.. Thank you for the opportunities 👍👍👍,Positive,Positive,Positive,positive
Nice,Positive,Positive,Positive,positive
So nice,Positive,Positive,Positive,positive
Excellent apps. Subhanallah Alhamdulillah.,Neutral,Neutral,Positive,positive
Amazing app!!!,Positive,Positive,Positive,positive
An excellent program and we hope for more success and development,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
"MashaAllah, the Qur'an is very good",Positive,Positive,Positive,positive
Alhamdulillah it's good,Positive,Positive,Positive,positive
That's cool. Add the Uzbek language to the translation of the words.,Positive,Neutral,Positive,positive
Alhamdulillah Amazing.,Positive,Neutral,Positive,positive
Very useful ❤️,Positive,Positive,Positive,positive
Nice app very helpful,Positive,Positive,Positive,positive
Beautifull app for every muslim,Positive,Positive,Positive,positive
It's amazing! MashaAllah! I really love this app. I recite everyday with this app. But it would be great if you could add some features. 1. Highlight the last ayat we recited and also highlight some of ayat that we recite daily basis. 2. tajwed with example of sounds recitation from quran I mean what is the easiest way to make people understand. You can add tajweed where you colored the letter to long press to see the tajweed details. Jazakallah who developed such a beautiful app.,Positive,Positive,Positive,positive
The writing is not clear,Negative,Negative,Negative,negative
"It is a very nice application, I can read whenever I want, however I want. Also, it has word-by-word translations, but the interpretations are a bit short :) thank you<333",Positive,Positive,Positive,positive
God's peace be upon those who deliver the right as it is.,Neutral,Neutral,Positive,positive
May God reward you and place it in the balance of your good deeds,Positive,Positive,Positive,positive
Mashallah excellent app. If you can add more Qari one can select of his choice.,Positive,Neutral,Positive,positive
This is wonderful,Positive,Positive,Positive,positive
Alhamdulillah I find this aap very usefull for learning the meaning in my own language,Positive,Positive,Positive,positive
No complain. Its nice application.,Positive,Positive,Positive,positive
Very interesting,Positive,Positive,Positive,positive
Very helpful in many ways 1..word to word translation 2..root word 3..reminder,Positive,Positive,Positive,positive
Best app ever,Positive,Positive,Positive,positive
Best ever Mobile Quran ap,Positive,Positive,Positive,positive
thanks may Allah reward you for this app,Positive,Positive,Positive,positive
amazing app. Better than many paid ones,Positive,Positive,Positive,positive
Fit my likeness of how it been made for learning,Positive,Positive,Positive,neutral
JazakaALLAHOU hairan,Neutral,Neutral,Positive,positive
Thank you very much...,Positive,Neutral,Positive,positive
Better than any other apps.,Neutral,Negative,Positive,positive
so good my brothers,Positive,Positive,Positive,positive
"Very smart and easy to read, I feel good to understand the meaning of whole Al Quran with this application.",Positive,Positive,Positive,positive
best and satisfied ❤️,Positive,Positive,Positive,positive
Very good,Positive,Positive,Positive,positive
Best,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
"It has taken an incomparable position among all the apps of Play Store. It is surely Allah's mercy. I know, it has many features to understand the Qura but I expect more form it.",Positive,Positive,Positive,positive
It s the best islamic app,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
A very good application. Quran Tafseer is available very well from here.,Neutral,Neutral,Positive,positive
"Glory be to Allah, a very complete Qur'an application, very helpful to better understand the content of the Qur'an",Positive,Positive,Positive,positive
This app is good for reading offline. This app does not show ads.,Positive,Positive,Positive,negative
"It's a wonderful experience to read the Holy Quran from this app. Easily we can read it off line,select word by word translation, their root words and tafseer as well.stay blessed and happy learning through this app💫",Positive,Positive,Positive,positive
Waiting for Tafsir as Sadi in English,Neutral,Neutral,Neutral,neutral
Wonderful app!!!! Jazakallahu khair,Positive,Positive,Positive,positive
Wow masha allah this app is amazing,Positive,Positive,Positive,positive
Good and interesting 👍,Positive,Positive,Positive,positive
Great App bu,Positive,Positive,Positive,positive
"MA SHA ALLAH,ALLAH VAS NAGRADIO",Neutral,Neutral,Neutral,positive
This is very handy and one of the best online Qur'an site.,Positive,Neutral,Positive,positive
Actually very helpful,Positive,Positive,Positive,positive
Prominent,Positive,Neutral,Positive,neutral
I'm really happy to have this apk... it's very helpful so you don't get bored... because there are various types of mushaf,Positive,Positive,Positive,positive
The best thing,Positive,Positive,Positive,positive
This is an invaluable app. I use it everyday. And it is user friendly.,Positive,Positive,Positive,positive
Alhamdulillah,Neutral,Neutral,Positive,positive
Prominent,Positive,Neutral,Positive,neutral
Its good for daily read,Positive,Positive,Positive,positive
really complete,Positive,Positive,Positive,negative
May ALLAH SWT GIVE blessings to everyone,Neutral,Neutral,Positive,positive
Stars talking,Neutral,Neutral,Neutral,neutral
The application is very good and complete.,Positive,Neutral,Positive,positive
Long time i used this app.. Now it's not reciting with the ayah.. Don't know y😒,Negative,Negative,Negative,negative
Excellent,Positive,Positive,Positive,positive
Great....,Positive,Positive,Positive,positive
"I really like this Al-Qur'an, there are interpretations that make it easy for me to find the meaning.",Neutral,Neutral,Positive,positive
This is an awesome app. and usefull too.,Positive,Positive,Positive,positive
Why shouldn't I put 5 stars?,Positive,Neutral,Positive,negative
❤️,Positive,Positive,Positive,positive
This is very useful app to understand the meaning of Qur'an l,Positive,Neutral,Positive,positive
Good app,Positive,Positive,Positive,positive
Very good. May God bless you all and reward you with all the best. I liked it. Thank you,Positive,Positive,Positive,positive
"I installed various applications, but this was the one I liked the most. You can really adjust everything as you wish.",Positive,Neutral,Positive,positive
"Thank you, this app is very helpful in understanding the Qur'an",Positive,Positive,Positive,positive
AlhmdulilAllah bht acha hn bht beneficial,Positive,Neutral,Neutral,positive
Easy to read,Positive,Neutral,Positive,positive
"Masha allah, good app",Positive,Positive,Positive,positive
May God reward you,Neutral,Positive,Positive,positive
Fantastic App,Positive,Positive,Positive,positive
God bless you,Positive,Neutral,Positive,positive
Allahumdullilah best experience,Positive,Positive,Positive,positive
"May God bless their work, and I highly recommend it. It is very, very useful",Positive,Positive,Positive,positive
A very great application that annoys me about one thing: the explanation or the reason for the revelation of the verses. It is supposed to be on the same page. I can select a word or verse on some of them and the explanation for it will appear for me.,Positive,Negative,Positive,negative
Masha Allah this app is so helpful and easy to read and understand.I can easily read. jazakallahu khair.May Allah tala grant you all jannatul firdaus,Positive,Positive,Positive,positive
"Very clear and accurate tafsir and user friendly UI. Tried a few apps, this works the best. Although prefer the actual book but this works as a good alternative when no Al Quran available.",Positive,Positive,Positive,positive
Best Quran app ever,Positive,Positive,Positive,positive
"Highly recommended, has lots of features to make it easier to use, and setup is easy and not too complicated",Positive,Positive,Positive,positive
👌👌👌,Neutral,Neutral,Positive,positive
"This Quranic app is exceptional, it's excellent and love it so much, may Allah bless the developers.",Positive,Positive,Positive,positive
"Cakeppp, you need to have this software",Neutral,Neutral,Neutral,neutral
Alhamdulillah very helpful in understanding the Qur'an and easy to find the letter. 👍,Positive,Positive,Positive,positive
This is the app what I was looking for since long. It's huge! Loved it.,Positive,Positive,Positive,positive
Nice App,Positive,Positive,Positive,positive
Good let him down,Neutral,Neutral,Negative,negative
"Excellent application, excellent, excellent, excellent, excellent, excellent.. I want to translate the Holy Quran into Arabic, and the interpretation should also be Arabic. How?",Neutral,Neutral,Positive,positive
Excellent 👍,Positive,Positive,Positive,positive
Good,Positive,Positive,Positive,positive
Very good apps.,Positive,Positive,Positive,positive
The most beautiful proposal I know. Thanks to the developers.,Neutral,Neutral,Positive,positive
This is great I love it,Positive,Positive,Positive,positive
The app is quite nice owing to i ever not come across any Quranic app better than this.,Positive,Positive,Positive,positive
One of the best app I have ever come across. May God reward you,Positive,Positive,Positive,positive
gob,Neutral,Neutral,Positive,negative
very good,Positive,Positive,Positive,positive
One of the best apps I've ever used,Positive,Positive,Positive,positive
Alhamdulillah..,Neutral,Neutral,Positive,positive
Assalaamu alaykum wa rahmatullaahi wa barakaatuh perfect app so far. I use this app with my children. One feature you can add is an AI tool for memorization.,Positive,Positive,Positive,positive
Nice apps,Positive,Positive,Positive,positive
It's a very good app.,Positive,Neutral,Positive,positive
Super pridlogenia,Positive,Positive,Positive,positive
Very good with good transalations,Positive,Positive,Positive,positive
Top,Positive,Neutral,Positive,positive
Alhamdulillah. A very good and useful app.,Positive,Positive,Positive,positive
Wow....... Best of its kind. So easy to learn Quran,Positive,Positive,Positive,positive
Most helpful app with soothing recitation,Positive,Positive,Positive,positive
Very good mashallah,Positive,Positive,Positive,positive
I really like this app and I wish Allah almighty will let this app reach were you the owners want it to reach,Positive,Positive,Positive,positive
one true love,Positive,Positive,Positive,positive
